V1,V2,labels
2.072345,-3.241693,0
17.93671,15.78481,0
1.083576,7.319176,0
11.12067,14.40678,0
23.71155,2.557729,0
24.16993,32.02478,2
21.66578,4.892855,0
4.693684,12.34217,0
19.21191,-1.121366,0
4.230391,-4.441536,0
9.12713,23.60572,0
0.4075031,15.29705,0
7.314846,3.309312,0
-3.438403,-12.02527,0
17.63935,-3.212345,0
4.415292,22.81555,0
11.94122,8.122487,0
0.7258532,1.806819,0
8.185273,28.1326,0
-5.773587,1.0248,0
18.76943,24.16946,0
7.752016,-3.334991,0
10.61132,28.44378,0
2.02165,-4.687122,0
5.145525,11.186,0
6.24331,19.47716,0
-11.70671,8.073185,0
7.255978,14.63704,0
3.392373,1.220712,0
24.2999,40.42887,2
4.094005,6.944695,0
11.80358,-2.445336,0
0.09228785,-6.651035,0
28.50607,-9.091833,0
23.40831,7.931438,0
10.56305,12.54468,0
20.14157,11.11789,0
-1.871265,8.60885,0
29.30237,14.02176,0
18.65383,17.21672,0
-2.972188,6.370999,0
10.32313,12.11574,0
16.90539,-1.355044,0
6.75371,12.02797,0
23.94777,13.35047,0
6.883513,6.188563,0
-1.241542,10.08179,0
20.50827,-1.57887,0
-3.75683,1.60851,0
17.9176,13.09896,0
2.002537,-0.656524,0
10.7768,15.5336,0
24.15819,5.330366,0
0.3268727,7.288787,0
21.64777,14.00506,0
6.871417,21.51998,0
15.14264,5.111947,0
11.54712,4.75756,0
0.6611676,-10.14263,0
-13.66531,16.93903,0
24.90937,-10.82038,0
-4.53022,-6.173767,0
3.163677,8.051481,0
1.495172,-7.261601,0
7.097637,2.105751,0
3.509483,24.58487,0
12.99879,24.91248,0
0.3593824,6.387915,0
14.35429,-2.252421,0
3.831208,-2.000873,0
31.40462,26.77209,2
-5.501097,13.39128,0
-1.04476,5.955898,0
4.409013,9.323681,0
2.917201,16.53999,0
7.265954,10.64794,0
10.32038,13.36857,0
9.35213,10.42427,0
6.648532,11.07535,0
-1.922306,4.888493,0
7.22604,13.02948,0
8.327288,8.540999,0
17.69046,21.59555,0
16.58353,18.16115,0
12.35425,31.96708,0
2.471138,5.482761,0
18.4925,29.42421,0
10.1196,7.162078,0
20.40245,3.943319,0
12.71589,4.531656,0
24.35859,-4.0644,0
21.74312,15.90887,0
12.27208,-9.612116,0
18.29681,22.38563,0
3.530957,8.673297,0
5.026042,36.03767,0
-0.8633009,-7.586249,0
26.83892,13.13713,0
19.11999,7.209715,0
-0.8841637,27.15254,0
-5.191529,29.65612,0
9.796095,15.43598,0
11.66314,10.63428,0
9.925199,26.80364,0
33.90998,15.02652,0
9.57004,9.2481,0
-16.2653,13.90024,0
15.10579,3.350049,0
-4.186504,7.96441,0
12.54816,32.51867,0
-7.733469,9.634491,0
18.91337,15.7414,0
-1.050022,-4.003455,0
-6.894765,1.041802,0
23.05031,-12.76934,0
25.96073,11.44522,0
7.950795,6.811407,0
-3.669517,-4.329696,0
10.52266,23.3561,0
26.29452,10.51806,0
12.42904,23.15663,0
0.1170239,24.65274,0
-1.040023,1.629857,0
11.16266,9.0201,0
13.61452,0.8832188,0
8.028045,14.82966,0
20.40253,22.0472,0
8.818028,18.90424,0
-0.3163153,21.40601,0
7.190193,9.13962,0
-0.4711474,-8.29095,0
16.6546,-1.519889,0
10.51711,-5.018592,0
17.96306,14.46713,0
-1.315535,11.6027,0
5.113728,3.961434,0
32.25842,-2.712702,0
-10.59094,15.40292,0
21.60892,17.75002,0
11.31144,1.031762,0
11.30595,3.068958,0
15.51137,8.943091,0
15.37201,18.17922,0
3.77755,13.33419,0
17.27989,13.97798,0
-3.349734,26.6599,0
15.72571,6.373983,0
25.50999,15.15837,0
16.68281,18.95937,0
-4.734694,24.09568,0
25.08795,19.69376,0
7.038364,10.6667,0
4.521214,-6.635304,0
6.454509,13.66272,0
5.322541,22.3855,0
0.6316529,19.79414,0
-5.669132,11.32511,0
9.843806,-4.695499,0
15.39168,14.14527,0
1.289581,10.09948,0
17.10334,6.207793,0
17.13273,6.609228,0
9.70176,12.33497,0
18.80351,-3.160759,0
6.08478,4.689186,0
-6.025192,26.61258,0
4.237603,7.315439,0
16.82231,8.13356,0
-4.768829,28.65819,0
0.5061416,4.946298,0
12.57349,10.41494,0
16.35374,6.874306,0
0.1009744,2.590253,0
13.67556,-12.72959,0
2.477362,8.42026,0
14.99279,15.16393,0
29.71711,15.62874,0
17.48491,3.3823,0
13.45815,-4.13764,0
2.2072,-1.554494,0
23.05134,24.39491,0
32.74222,25.56641,2
15.56297,24.94262,0
8.132651,8.998712,0
0.4580866,-9.891244,0
-9.164294,5.029294,0
-3.031709,20.23346,0
12.12393,15.103,0
19.95281,29.14982,0
13.00477,27.23093,0
10.4399,25.7741,0
0.351724,12.2222,0
10.37312,6.863773,0
17.95419,4.455694,0
21.06292,3.607867,0
6.069686,9.325338,0
14.00808,11.5225,0
-1.777792,14.62108,0
0.7525703,-7.381838,0
-2.329547,5.070321,0
1.77457,6.278572,0
10.69576,16.30571,0
18.11151,34.12422,0
0.2417766,27.04643,0
-0.4202355,4.105829,0
15.41425,14.78257,0
8.463556,23.04895,0
12.03072,17.41157,0
18.68731,6.949079,0
6.369355,5.700326,0
21.82924,5.564074,0
7.61541,-5.024377,0
5.823252,18.40279,0
22.35203,8.526174,0
6.434616,21.16974,0
0.5560946,-4.866076,0
6.737062,-11.7331,0
-1.392677,14.64543,0
4.935136,24.86809,0
20.35508,26.98124,0
8.624667,10.67174,0
16.31749,11.64083,0
9.014875,14.42246,0
17.59833,26.66023,0
2.636649,24.04782,0
13.82606,16.27159,0
10.39783,3.804893,0
-6.27359,3.878999,0
-11.88057,0.1788024,0
21.02048,9.690716,0
18.25632,16.94127,0
24.96351,-1.158215,0
10.13696,6.446662,0
3.509066,16.55414,0
2.409921,-0.3445188,0
16.0843,7.562616,0
5.987025,7.456533,0
12.63902,14.35081,0
7.392535,22.61304,0
10.37212,-1.25827,0
-19.01791,0.6507304,0
3.030817,4.580993,0
34.0303,-3.716423,0
-5.843476,13.79137,0
36.95611,-1.245269,1
-0.188409,-1.86653,0
17.28285,1.558553,0
8.9204,29.19455,0
-5.873556,6.456733,0
17.76259,24.02293,0
12.49482,22.47067,0
12.6087,3.212588,0
3.606599,14.24789,0
20.48342,13.74531,0
31.6423,13.04685,0
4.745898,7.317133,0
-5.295478,6.001008,0
7.238307,19.98631,0
6.144599,19.91034,0
9.837835,8.336385,0
18.64695,5.146764,0
-0.5638628,9.673976,0
5.21368,21.83143,0
-0.1993878,9.176207,0
22.42831,8.390862,0
19.39561,-7.412824,0
31.28428,4.131464,0
8.380888,0.2647594,0
7.84069,13.20062,0
23.85992,6.171501,0
6.188661,24.92638,0
18.08387,19.74208,0
14.23096,12.43815,0
14.4807,8.661634,0
30.91987,17.57755,0
4.117051,3.299065,0
18.10072,9.572447,0
-3.777019,1.115207,0
18.47156,8.861407,0
30.69195,21.9132,0
1.838687,13.1765,0
14.22135,16.96163,0
27.70961,10.52575,0
9.956135,7.890054,0
11.7273,14.00086,0
2.154482,14.16347,0
-0.2120434,1.330881,0
-1.738983,16.9849,0
2.299075,-0.2934258,0
22.01149,-0.4469464,0
4.275241,16.67383,0
19.38943,4.436821,0
8.80722,13.23823,0
-0.7658179,-4.004811,0
12.69128,13.52916,0
12.73131,7.050802,0
8.388222,23.45347,0
23.42708,4.598641,0
4.046104,7.634936,0
7.667025,3.193633,0
22.60801,5.13032,0
14.74391,28.76733,0
20.53201,8.01565,0
16.46037,16.81531,0
12.70669,11.48214,0
-1.474059,3.329562,0
35.04961,14.4484,0
2.529177,15.56721,0
28.9961,-15.57834,0
