x1,x2
8.046815169,9.741152413
8.408520185,8.7632696
9.195914812,10.85318113
9.914700765,11.17425987
8.576699605,9.042849438
8.922402508,8.406468937
7.822131639,9.223187824
10.67636615,10.89169137
11.16287532,11.20299807
7.666450949,9.899083735
8.984549623,7.958008216
9.061460431,9.549088743
8.389886712,10.56202142
8.393504746,10.62698794
8.979009261,8.280614943
9.167912587,9.465838285
8.961761453,9.751824213
9.458997354,10.07018563
9.584763719,10.82743424
7.074270736,8.067110898
8.549129404,10.53827677
8.986250419,9.787763036
9.96991942,11.51830493
9.255765967,10.29427277
10.33425,11.12469989
10.6350487,11.49094477
8.620812917,10.45947525
9.815484847,10.33956527
9.593189729,9.612381057
9.489067547,10.64087368
10.52704801,9.635680312
8.975067074,9.765315329
7.953649544,9.823285121
7.887874442,10.0760781
11.02178961,11.25746992
9.926292707,11.29725072
7.465594004,9.183212118
9.084662781,9.441922032
9.537175225,9.242242481
9.222508516,10.42386188
9.51908496,8.99871699
8.119714336,9.660818459
9.510888942,10.30465149
9.182624264,10.39388968
9.716518449,10.73369667
8.834546999,11.17138034
11.00076179,9.692329703
9.127027152,10.91462775
8.845785469,9.341393489
10.4142611,11.24243182
8.252737267,10.00861364
8.66840226,9.358860357
8.775347739,9.738085122
9.125823426,9.929809226
9.547246043,10.63339445
9.152580771,9.536226965
9.126481611,10.34467591
9.263246583,9.985569181
9.773243319,10.25299474
9.209699337,11.14572569
8.260655153,10.48016214
9.252733509,10.03134361
7.921244468,8.193215401
8.852431293,8.332131106
8.968568003,8.198212367
8.25206982,10.3684639
8.70449634,8.21431302
9.508747213,10.46051652
10.69042696,11.48168852
7.95598192,7.437030059
8.59312604,9.841899026
10.12874639,12.14981223
9.267050367,10.67551974
10.66145055,9.811464515
9.339626728,10.49202298
9.276176546,9.705906933
9.860490723,10.59000779
9.104144796,10.18050456
10.98828286,10.62105187
8.474735828,10.59307142
8.776376015,9.991944267
7.827708751,10.67136907
8.67165486,10.11954159
10.38704284,10.56936935
10.54320934,10.5154315
8.853060941,10.60672437
8.625252458,9.452094629
10.01577844,9.91664093
8.836457534,10.24940725
9.226944385,9.347984362
8.237426254,9.610587513
8.384829191,9.733193303
8.871301032,9.973994686
7.394458468,9.644482169
9.321865578,9.528906294
10.82965092,10.71619455
10.80177302,11.01808914
9.697512003,9.111987487
